| Map (#) | Expand | WIN% | W | L | ATK  1st | DEF  1st | ATK  RWin% | RW | RL | DEF  RWin% | RW | RL | Agent Compositions |
|  | | [2023/3/31  Oxygen Esports  9/13  atk  3/9  def  6/4    Lower Round 3  Mid-Season Face Off](/185986/oxygen-esports-vs-g2-esports-challengers-league-north-america-lr3/?map=1) | | | | | | | | | | |  |
|  | | [2023/3/30  Moist Moguls  13/5  atk  10/2  def  3/3    Lower Round 2  Mid-Season Face Off](/185985/moist-moguls-vs-g2-esports-challengers-league-north-america-lr2/?map=1) | | | | | | | | | | |  |
|  | | [2023/3/24  Oxygen Esports  13/5  def  7/5  atk  6/0    Upper Quarterfinals  Mid-Season Face Off](/185977/g2-esports-vs-oxygen-esports-challengers-league-north-america-ubqf/?map=2) | | | | | | | | | | |  |
|  | | [2023/3/18  Shopify Rebellion Black  13/4  atk  8/4  def  5/0    Week 5  Split 1](/169008/g2-esports-vs-shopify-rebellion-challengers-league-north-america-w5/?map=2) | | | | | | | | | | |  |
|  | | [2023/3/01  Oxygen Esports  13/4  atk  10/2  def  3/2    Week 3  Split 1](/168998/g2-esports-vs-oxygen-esports-challengers-league-north-america-w3/?map=1) | | | | | | | | | | |  |
| Ascent (34) |  | 71% | 24 | 10 | 25 | 9 | 51% | 208 | 196 | 56% | 189 | 150 | (5)  (6)  (14)  (1)  (1)  (7) |
|  | | [2025/8/18  Cloud9  13/8  atk  6/6  def  7/2    Week 5  Group Stage](/509830/g2-esports-vs-cloud9-vct-2025-americas-stage-2-w5/?map=1) | | | | | | | | | | |  |
|  | | [2025/8/11  FURIA  13/5  atk  8/4  def  5/1    Week 4  Group Stage](/509823/furia-vs-g2-esports-vct-2025-americas-stage-2-w4/?map=2) | | | | | | | | | | |  |
|  | | [2025/8/04  Evil Geniuses  13/4  atk  9/3  def  4/1    Week 3  Group Stage](/509817/g2-esports-vs-evil-geniuses-vct-2025-americas-stage-2-w3/?map=3) | | | | | | | | | | |  |
|  | | [2025/7/26  2Game Esports  13/8  atk  6/6  def  7/2    Week 2  Group Stage](/509807/2game-esports-vs-g2-esports-vct-2025-americas-stage-2-w2/?map=1) | | | | | | | | | | |  |
|  | | [2025/7/21  Sentinels  13/6  atk  9/3  def  4/3    Week 1  Group Stage](/509806/sentinels-vs-g2-esports-vct-2025-americas-stage-2-w1/?map=2) | | | | | | | | | | |  |
|  | | [2025/5/05  Sentinels  13/10  atk  5/7  def  8/3    Grand Final  Playoffs](/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf/?map=4) | | | | | | | | | | |  |
|  | | [2025/5/04  MIBR  13/8  atk  6/6  def  7/2    Lower Final  Playoffs](/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf/?map=4) | | | | | | | | | | |  |
|  | | [2025/4/27  Sentinels  11/13  atk  2/10  def  9/3    Upper Semifinals  Playoffs](/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf/?map=3) | | | | | | | | | | |  |
|  | | [2025/4/06  NRG  13/6  atk  10/2  def  3/4    Week 3  Group Stage](/459532/g2-esports-vs-nrg-esports-champions-tour-2025-americas-stage-1-w3/?map=2) | | | | | | | | | | |  |
|  | | [2025/3/30  MIBR  13/8  atk  8/4  def  5/4    Week 2  Group Stage](/459526/g2-esports-vs-mibr-champions-tour-2025-americas-stage-1-w2/?map=3) | | | | | | | | | | |  |
|  | | [2025/3/23  FURIA  13/7  atk  8/4  def  5/3    Week 1  Group Stage](/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1/?map=2) | | | | | | | | | | |  |
|  | | [2024/7/22  LEVIATÁN  4/13  def  4/8  atk  0/5    Grand Final  Playoffs](/371271/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-2-gf/?map=4) | | | | | | | | | | |  |
|  | | [2024/7/07  KRÜ Esports  16/14  atk  7/5  def  5/7  OT  4/2  Week 3  Regular Season](/353192/g2-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w3/?map=2) | | | | | | | | | | |  |
|  | | [2024/6/25  Cloud9  13/11  atk  4/8  def  9/3    Week 1  Regular Season](/353181/g2-esports-vs-cloud9-champions-tour-2024-americas-stage-2-w1/?map=1) | | | | | | | | | | |  |
|  | | [2024/6/07  Gen.G  10/13  def  4/8  atk  6/5    Upper Final  Playoffs](/348473/g2-esports-vs-gen-g-champions-tour-2024-masters-shanghai-ubf/?map=2) | | | | | | | | | | |  |
|  | | [2024/6/02  Team Heretics  13/11  atk  2/10  def  11/1    Upper Semifinals  Playoffs](/348469/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-ubsf/?map=2) | | | | | | | | | | |  |
|  | | [2024/5/12  LEVIATÁN  13/11  atk  5/7  def  8/4    Lower Final  Playoffs](/337414/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-lbf/?map=5) | | | | | | | | | | |  |
|  | | [2024/5/11  100 Thieves  5/13  atk  5/7  def  0/6    Upper Final  Playoffs](/337411/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-ubf/?map=1) | | | | | | | | | | |  |
|  | | [2024/5/10  KRÜ Esports  13/8  atk  6/6  def  7/2    Upper Semifinals  Playoffs](/337409/kr-esports-vs-g2-esports-champions-tour-2024-americas-stage-1-ubsf/?map=2) | | | | | | | | | | |  |
|  | | [2024/5/09  Cloud9  15/13  atk  7/5  def  5/7  OT  3/1  Knockout Round  Playoffs](/337407/cloud9-vs-g2-esports-champions-tour-2024-americas-stage-1-ko/?map=2) | | | | | | | | | | |  |
|  | | [2024/2/19  KRÜ Esports  13/11  def  5/7  atk  8/4    Opening (C)  Group Stage](/295615/kr-esports-vs-g2-esports-champions-tour-2024-americas-kickoff-opening-c/?map=3) | | | | | | | | | | |  |
|  | | [2023/11/02  Oxygen Esports  11/13  def  7/5  atk  4/8    Day 1  Group Stage](/282935/g2-esports-vs-oxygen-esports-sentinels-invitational-d1/?map=3) | | | | | | | | | | |  |
