| Player | Agents | Rnd | R2.0 | ACS | K:D | KAST | ADR | KPR | APR | FKPR | FDPR | HS% | CL% | CL | KMax | K | D | A | FK | FD |
| [ZachKappa  MKF](/player/38424/zachkappa) | (+2) | 332 | 1.13 | 220.9 | 1.22 | 74% | 146.6 | 0.79 | 0.20 | 0.11 | 0.10 | 31% | 11% | 4/36 | [26](/505094/koi-f-nix-vs-ucam-esports-club-challengers-2025-spain-rising-split-3-r3) | 261 | 214 | 68 | 38 | 32 |
| [canezerra  NV](/player/36560/canezerra) | (+2) | 512 | 1.13 | 245.3 | 1.20 | 71% | 155.6 | 0.86 | 0.31 | 0.14 | 0.14 | 28% | 25% | 6/24 | [27](/513748/yfp-vs-envy-challengers-2025-north-america-ace-stage-3-r2) | 442 | 367 | 158 | 71 | 72 |
| [forbanz  2G.AC](/player/22964/forbanz) | (+1) | 262 | 1.13 | 255.4 | 1.19 | 69% | 163.2 | 0.89 | 0.15 | 0.18 | 0.24 | 26% | 21% | 3/14 | [26](/518747/2game-academy-vs-team-solid-challengers-2025-brazil-gamers-club-split-2-ubsf) | 234 | 197 | 40 | 48 | 62 |
| [Bob  FLY](/player/873/bob) | (+2) | 412 | 1.13 | 211.1 | 1.16 | 71% | 138.9 | 0.76 | 0.28 | 0.08 | 0.06 | 29% | 13% | 12/91 | [28](/531574/flyquest-red-vs-ghost-gaming-game-changers-2025-north-america-stage-2-r4-2-1) | 313 | 269 | 116 | 33 | 24 |
| [zerona  SAD](/player/14048/zerona) | (+3) | 493 | 1.13 | 216.3 | 1.19 | 73% | 144.9 | 0.77 | 0.25 | 0.12 | 0.10 | 34% | 13% | 8/61 | [40](/516077/burger-boyz-vs-maryville-university-funhavergg-zero-in-final-qualifier-qf) | 378 | 317 | 123 | 59 | 51 |
| [Only1  DLT](/player/38369/only1) |  | 323 | 1.13 | 241.5 | 1.13 | 73% | 156.4 | 0.87 | 0.20 | 0.22 | 0.15 | 28% | 19% | 5/27 | [31](/510411/delight-vs-noez-foxx-challengers-2025-japan-split-3-w1) | 282 | 249 | 65 | 71 | 49 |
| [doma  EP](/player/1369/doma) | (+2) | 321 | 1.13 | 206.9 | 1.22 | 77% | 142.5 | 0.71 | 0.24 | 0.07 | 0.05 | 27% | 21% | 6/29 | [23](/520207/boars-vs-enterprise-esports-challengers-2025-north-east-samsung-odyssey-split-3-r4-2-1) | 229 | 187 | 76 | 24 | 16 |
| [Timotino  TSM](/player/29893/timotino) | (+2) | 394 | 1.13 | 249.7 | 1.22 | 71% | 158.3 | 0.87 | 0.21 | 0.19 | 0.16 | 27% | 14% | 4/29 | [30](/523954/tsm-vs-yfp-pigeons-bell-esports-challenge-2025-online-qualifier-2-sf) | 344 | 283 | 84 | 75 | 64 |
| [Bobbiexo  NOVO.NI](/player/30096/bobbiexo) | (+1) | 430 | 1.13 | 190.6 | 1.18 | 73% | 129.3 | 0.70 | 0.29 | 0.05 | 0.06 | 27% | 15% | 12/82 | [26](/527233/alternate-attax-ruby-vs-todobew-gc-game-changers-2025-emea-contenders-series-2-playoffs-uro16) | 299 | 253 | 126 | 20 | 26 |
| [kiNgg  LEV](/player/8549/kingg) |  | 595 | 1.12 | 198.9 | 1.12 | 76% | 128.6 | 0.69 | 0.33 | 0.06 | 0.07 | 28% | 17% | 13/75 | [25](/509812/mibr-vs-leviat-n-vct-2025-americas-stage-2-w2) | 408 | 365 | 195 | 38 | 40 |
| [zenox  HSW](/player/31632/zenox) | (+1) | 477 | 1.12 | 251.1 | 1.12 | 69% | 164.4 | 0.86 | 0.19 | 0.19 | 0.15 | 31% | 10% | 3/29 | [35](/520224/nx-vs-marlon-n-friends-challengers-2025-oceania-split-2-r4) | 409 | 366 | 92 | 90 | 72 |
| [yatsuka  RID](/player/29843/yatsuka) | (+2) | 346 | 1.12 | 221.5 | 1.21 | 74% | 143.1 | 0.81 | 0.16 | 0.13 | 0.09 | 34% | 24% | 12/51 | [24](/510429/riddle-order-vs-noez-foxx-challengers-2025-japan-split-3-w3) | 280 | 232 | 54 | 45 | 31 |
| [Lar0k  BCF](/player/31305/lar0k) | (+1) | 241 | 1.12 | 219.8 | 1.22 | 75% | 140.8 | 0.78 | 0.25 | 0.08 | 0.11 | 32% | 23% | 3/13 | [23](/511224/bbl-pcific-vs-papara-supermassive-challengers-2025-t-rkiye-birlik-split-3-ubsf) | 188 | 154 | 60 | 19 | 26 |
| [Jackk  ROSE](/player/44842/jackk) |  | 230 | 1.12 | 192.6 | 1.12 | 75% | 130.2 | 0.72 | 0.27 | 0.03 | 0.06 | 30% | 15% | 6/39 | [31](/510080/rose-vs-pigeons-funhavergg-zero-in-qualifier-6-qf) | 166 | 148 | 62 | 8 | 13 |
| [KADIRI  KING](/player/43125/kadiri) |  | 431 | 1.12 | 213.3 | 1.22 | 74% | 140.0 | 0.78 | 0.19 | 0.07 | 0.07 | 42% | 11% | 7/61 | [27](/527775/full-house-vs-e-king-challengers-2025-oceania-split-2-ubf) | 335 | 274 | 84 | 29 | 30 |
| [twelve  RVL](/player/36695/twelve) |  | 318 | 1.12 | 217.4 | 1.11 | 69% | 145.5 | 0.77 | 0.26 | 0.08 | 0.08 | 30% | 20% | 14/69 | [24](/495163/nobody-in-coldan-vs-ignite-breakpoint-2025-my-sg-split-3-ubsf) | 245 | 220 | 84 | 26 | 26 |
| [Luca  DLT](/player/37393/luca) | (+2) | 323 | 1.12 | 202.5 | 1.13 | 72% | 135.5 | 0.74 | 0.25 | 0.09 | 0.07 | 33% | 30% | 15/50 | [24](/510424/delight-vs-riddle-order-challengers-2025-japan-split-3-w2) | 239 | 212 | 82 | 28 | 24 |
| [sunfloweR  ESC](/player/39695/sunflower) | (+1) | 219 | 1.12 | 226.4 | 1.08 | 68% | 155.3 | 0.77 | 0.26 | 0.11 | 0.11 | 34% | 12% | 4/33 | [24](/521317/team-liquid-academy-vs-esc-gaming-challengers-2025-north-east-samsung-odyssey-split-3-r5) | 169 | 156 | 57 | 24 | 25 |
| [eKo  NFX](/player/1960/eko) | (+1) | 447 | 1.12 | 256.0 | 1.10 | 71% | 164.6 | 0.87 | 0.24 | 0.23 | 0.15 | 21% | 19% | 6/31 | [31](/524999/fennel-vs-noez-foxx-challengers-league-2025-japan-finals-lbf) | 391 | 356 | 106 | 101 | 69 |
| [HYUNMIN  DRX](/player/28400/hyunmin) | (+1) | 434 | 1.12 | 242.0 | 1.13 | 71% | 155.6 | 0.83 | 0.18 | 0.17 | 0.13 | 29% | 10% | 3/29 | [26](/508837/rex-regum-qeon-vs-drx-vct-2025-pacific-stage-2-w3) | 362 | 320 | 79 | 73 | 56 |
| [kramarick  F4T](/player/41225/kramarick) |  | 249 | 1.12 | 208.1 | 1.17 | 78% | 136.7 | 0.76 | 0.42 | 0.07 | 0.06 | 34% | 27% | 6/22 | [24](/522542/elevate-academy-vs-delira-jspotter-the-ninjutso-chronicles-final-collapse-round-3) | 190 | 162 | 104 | 18 | 16 |
| [nephh  BLG](/player/10698/nephh) | (+1) | 465 | 1.12 | 196.3 | 1.02 | 77% | 121.4 | 0.67 | 0.55 | 0.08 | 0.08 | 21% | 26% | 6/23 | [29](/527588/bilibili-gaming-vs-edward-gaming-vct-2025-china-stage-2-lbf) | 311 | 305 | 254 | 38 | 38 |
| [wackie  VLNT](/player/7162/wackie) |  | 288 | 1.12 | 203.0 | 1.14 | 70% | 138.4 | 0.74 | 0.20 | 0.06 | 0.06 | 32% | 15% | 6/39 | [30](/524279/joblife-vs-team-valiant-challengers-2025-france-revolution-split-3-ubf) | 214 | 188 | 59 | 18 | 16 |
| [Klamran  Berz](/player/16028/klamran) |  | 235 | 1.12 | 205.8 | 1.05 | 74% | 131.1 | 0.74 | 0.38 | 0.07 | 0.07 | 28% | 26% | 11/42 | [21](/536966/overtake-vs-i-have-0-lcue-shark-attack-1-ro16) | 175 | 166 | 89 | 17 | 16 |
| [canady  TLNA](/player/41702/canady) | (+1) | 211 | 1.12 | 258.4 | 1.14 | 71% | 166.4 | 0.87 | 0.17 | 0.20 | 0.18 | 30% | 7% | 1/15 | [28](/521217/talon-academy-vs-z11-challengers-2025-southeast-asia-split-3-w2) | 183 | 160 | 35 | 42 | 38 |
| [aspas  MIBR](/player/8480/aspas) | (+1) | 242 | 1.12 | 227.4 | 1.22 | 74% | 147.3 | 0.80 | 0.16 | 0.19 | 0.09 | 26% | 17% | 4/23 | [24](/509816/mibr-vs-100-thieves-vct-2025-americas-stage-2-w3) | 194 | 159 | 39 | 46 | 21 |
| [Katashio  CVU.NBG](/player/24550/katashio) | (+2) | 247 | 1.12 | 231.5 | 1.06 | 74% | 153.4 | 0.80 | 0.26 | 0.08 | 0.07 | 30% | 16% | 7/43 | [28](/509751/qor-vs-we-have-paper-rex-at-home-funhavergg-zero-in-qualifier-6-group-stage-winners-e) | 197 | 186 | 65 | 20 | 18 |
| [sonofcar  UST](/player/29074/sonofcar) | (+4) | 1148 | 1.12 | 244.2 | 1.18 | 71% | 159.6 | 0.86 | 0.19 | 0.23 | 0.18 | 23% | 20% | 17/85 | [32](/522014/maryville-university-vs-nightblood-gaming-challengers-2025-north-america-ace-stage-3-r4) | 988 | 835 | 218 | 264 | 208 |
| [isaa  TLV](/player/14386/isaa) |  | 236 | 1.12 | 198.5 | 1.28 | 76% | 133.8 | 0.71 | 0.28 | 0.06 | 0.06 | 28% | 20% | 5/25 | [20](/514826/team-liquid-brazil-vs-mibr-gc-game-changers-2025-brazil-stage-2-gf) | 168 | 131 | 67 | 15 | 13 |
| [jas0n  FUN](/player/26565/jas0n) | (+2) | 201 | 1.12 | 241.8 | 1.08 | 69% | 161.2 | 0.79 | 0.24 | 0.17 | 0.14 | 30% | 20% | 5/25 | [26](/531569/rice-and-cracker-vs-team-evictix-red-funhavergg-zero-in-lan-swiss-stage-r4-1-2) | 159 | 147 | 49 | 34 | 29 |
| [oasis  BLUE](/player/37923/oasis) | (+1) | 229 | 1.11 | 270.8 | 1.23 | 71% | 168.9 | 0.95 | 0.16 | 0.20 | 0.15 | 26% | 15% | 2/13 | [29](/522589/100-thieves-gc-vs-equinox-game-changers-2025-north-america-stage-2-r1) | 217 | 176 | 36 | 45 | 35 |
| [D4rf  NKT](/player/27225/d4rf) |  | 350 | 1.11 | 228.2 | 1.18 | 76% | 141.2 | 0.79 | 0.43 | 0.08 | 0.07 | 31% | 27% | 6/22 | [23](/520586/team-nkt-vs-oasis-gaming-challengers-2025-southeast-asia-split-3-w1) | 275 | 233 | 149 | 29 | 26 |
| [Kon  XIP.GC](/player/25388/kon) | (+2) | 307 | 1.11 | 223.0 | 1.12 | 70% | 150.2 | 0.78 | 0.31 | 0.10 | 0.09 | 36% | 6% | 3/47 | [25](/490751/team-falcons-vega-vs-xipto-esports-gc-game-changers-2025-southeast-asia-split-2-ubf) | 238 | 213 | 94 | 31 | 28 |
| [azury  SGE](/player/4629/azury) |  | 247 | 1.11 | 206.2 | 1.20 | 78% | 136.2 | 0.77 | 0.22 | 0.06 | 0.05 | 34% | 12% | 3/26 | [22](/493760/eintracht-frankfurt-vs-mouz-a1-esports-cup-8-playoffs-gf) | 189 | 157 | 55 | 14 | 13 |
| [Favian  ULF](/player/41720/favian) | (+3) | 338 | 1.11 | 213.1 | 1.11 | 69% | 138.9 | 0.78 | 0.29 | 0.11 | 0.07 | 34% | 12% | 5/41 | [25](/511231/ulf-esports-vs-eternal-fire-challengers-2025-t-rkiye-birlik-split-3-lbf) | 262 | 236 | 98 | 38 | 23 |
| [charles](/player/53101/charles) |  | 245 | 1.11 | 225.3 | 1.12 | 66% | 144.7 | 0.87 | 0.09 | 0.10 | 0.13 | 39% | 7% | 2/28 | [29](/515684/tuffgg-vs-heheheha-funhavergg-zero-in-final-qualifier-groups-decider-c) | 212 | 190 | 21 | 25 | 31 |
| [IKANA  KING](/player/26310/ikana) |  | 470 | 1.11 | 216.1 | 1.21 | 78% | 139.5 | 0.77 | 0.29 | 0.07 | 0.06 | 27% | 14% | 6/44 | [24](/527776/full-house-vs-e-king-challengers-2025-oceania-split-2-gf) | 360 | 297 | 134 | 33 | 30 |
| [trexx  TL](/player/2168/trexx) |  | 293 | 1.11 | 205.6 | 1.10 | 74% | 129.6 | 0.69 | 0.43 | 0.09 | 0.06 | 19% | 12% | 4/34 | [20](/511581/team-liquid-vs-karmine-corp-vct-2025-emea-stage-2-w5) | 203 | 184 | 125 | 25 | 19 |
| [ducq  Alli](/player/44348/ducq) | (+2) | 730 | 1.11 | 199.9 | 1.13 | 74% | 131.6 | 0.70 | 0.28 | 0.07 | 0.06 | 31% | 15% | 17/117 | [24](/511492/alliance-guardians-vs-pigeons-funhavergg-zero-in-qualifier-7-ro16) | 509 | 450 | 208 | 49 | 43 |
| [david  SHI](/player/12872/david) | (+1) | 381 | 1.11 | 216.1 | 1.12 | 71% | 138.9 | 0.79 | 0.32 | 0.12 | 0.10 | 34% | 28% | 9/32 | [37](/505160/oxen-vs-shinden-challengers-2025-latam-south-ace-stage-2-w2) | 301 | 268 | 123 | 46 | 38 |
| [phc  OXÜ](/player/36433/phc) |  | 277 | 1.11 | 210.5 | 1.11 | 80% | 141.0 | 0.71 | 0.44 | 0.07 | 0.05 | 32% | 21% | 8/39 | [23](/505180/oxen-vs-9z-team-challengers-2025-latam-south-ace-stage-2-w6) | 198 | 179 | 123 | 19 | 14 |
| [Sand  TWIS](/player/6503/sand) | (+2) | 408 | 1.11 | 232.2 | 1.23 | 71% | 149.3 | 0.84 | 0.17 | 0.13 | 0.07 | 32% | 28% | 11/39 | [29](/531976/twisted-minds-vs-team-raad-challengers-2025-mena-resilience-lan-finals-lr1) | 343 | 280 | 68 | 52 | 30 |
| [Jemkin  RRQ](/player/24895/jemkin) | (+1) | 596 | 1.11 | 224.8 | 1.22 | 72% | 138.1 | 0.81 | 0.17 | 0.18 | 0.16 | 34% | 9% | 4/44 | [24](/530359/rex-regum-qeon-vs-gen-g-vct-2025-pacific-stage-2-lr1) | 480 | 395 | 102 | 107 | 95 |
| [Ticey  DSY](/player/12519/ticey) | (+1) | 312 | 1.11 | 217.4 | 1.08 | 78% | 136.8 | 0.74 | 0.43 | 0.12 | 0.13 | 19% | 17% | 4/23 | [22](/505104/bar-a-esports-vs-dnsty-challengers-2025-spain-rising-split-3-r5) | 231 | 214 | 135 | 36 | 41 |
| [happywei  XLG](/player/37927/happywei) |  | 278 | 1.11 | 229.8 | 1.11 | 70% | 155.9 | 0.77 | 0.26 | 0.11 | 0.10 | 36% |  | 0/9 | [25](/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b) | 215 | 194 | 73 | 25 | 24 |
| [Logan  QOR](/player/5093/logan) | (+9) | 907 | 1.11 | 195.7 | 1.17 | 76% | 129.2 | 0.70 | 0.28 | 0.08 | 0.06 | 25% | 14% | 20/148 | [29](/532791/qor-vs-nightblood-gaming-challengers-2025-north-america-ace-stage-3-ubqf) | 632 | 541 | 257 | 73 | 55 |
| [Roses  TNX](/player/45706/roses) |  | 353 | 1.11 | 221.0 | 1.05 | 74% | 142.8 | 0.77 | 0.38 | 0.10 | 0.10 | 32% | 21% | 8/39 | [24](/531576/artificial-intelligence-vs-tenax-gc-game-changers-2025-north-america-stage-2-r4-1-2) | 271 | 259 | 135 | 35 | 35 |
| [nabil  L11](/player/8434/nabil) | (+2) | 258 | 1.11 | 218.8 | 0.98 | 75% | 141.0 | 0.72 | 0.52 | 0.10 | 0.08 | 20% | 7% | 2/28 | [20](/532303/retired-at-20-vs-tenax-funhavergg-back-to-basics-1-ro16) | 187 | 191 | 133 | 26 | 21 |
| [f1cio  FCY](/player/8225/f1cio) | (+1) | 371 | 1.11 | 209.4 | 1.18 | 72% | 141.2 | 0.75 | 0.29 | 0.10 | 0.08 | 34% | 21% | 9/42 | [27](/521222/fancy-united-esports-vs-motiv-esports-challengers-2025-southeast-asia-split-3-w2) | 279 | 237 | 108 | 38 | 28 |
| [skuba  NRG](/player/11118/skuba) | (+2) | 424 | 1.11 | 196.6 | 1.20 | 75% | 130.8 | 0.73 | 0.28 | 0.06 | 0.06 | 23% | 12% | 8/69 | [26](/509820/mibr-vs-nrg-vct-2025-americas-stage-2-w4) | 310 | 259 | 119 | 26 | 27 |
| [SUYGETSU  KC](/player/2858/suygetsu) |  | 505 | 1.11 | 210.4 | 1.13 | 73% | 137.5 | 0.76 | 0.30 | 0.08 | 0.08 | 43% | 19% | 16/86 | [26](/511549/apeks-vs-karmine-corp-vct-2025-emea-stage-2-w2) | 386 | 343 | 151 | 41 | 40 |
| [Kess  100T](/player/9094/kess) | (+3) | 826 | 1.11 | 207.7 | 1.16 | 77% | 135.5 | 0.74 | 0.34 | 0.06 | 0.05 | 26% | 13% | 14/109 | [26](/510253/the-fry-cooks-vs-qor-funhavergg-zero-in-qualifier-6-semi) | 611 | 527 | 282 | 50 | 39 |
| [Feniz  EXL](/player/7616/feniz) | (+2) | 292 | 1.11 | 206.3 | 1.16 | 73% | 138.6 | 0.76 | 0.20 | 0.07 | 0.09 | 31% | 23% | 11/48 | [30](/525801/six-karma-vs-e-xolos-lazer-challengers-2025-latam-north-ace-stage-2-gf) | 221 | 191 | 57 | 21 | 25 |
| [stunna  The](/player/20957/stunna) | (+4) | 866 | 1.11 | 231.1 | 1.12 | 71% | 154.8 | 0.81 | 0.24 | 0.14 | 0.10 | 24% | 23% | 14/62 | [29](/510055/the-fry-cooks-vs-relaxed-reptilians-funhavergg-zero-in-qualifier-6-ro16) | 698 | 622 | 204 | 124 | 90 |
| [blowz  LEVA](/player/21251/blowz) |  | 391 | 1.11 | 183.6 | 1.17 | 75% | 126.3 | 0.68 | 0.30 | 0.04 | 0.04 | 33% | 29% | 14/49 | [23](/505179/shinden-vs-leviat-n-academy-challengers-2025-latam-south-ace-stage-2-w6) | 267 | 228 | 117 | 17 | 14 |
| [k1ngkappa  S8UL](/player/10749/k1ngkappa) |  | 473 | 1.11 | 219.1 | 1.21 | 73% | 144.0 | 0.78 | 0.19 | 0.09 | 0.08 | 32% | 13% | 6/46 | [28](/511534/revenant-xspark-vs-s8ul-esports-challengers-2025-south-asia-ascension-qualifiers-ubsf) | 371 | 307 | 89 | 42 | 40 |
| [welyy  SAD](/player/16671/welyy) |  | 974 | 1.11 | 200.7 | 1.07 | 76% | 128.3 | 0.65 | 0.40 | 0.07 | 0.05 | 22% | 16% | 23/143 | [25](/509786/sad-esports-vs-5-big-booms-funhavergg-zero-in-qualifier-6-group-stage-winners-l) | 637 | 593 | 393 | 70 | 53 |
| [bstrdd  MIBR.GC](/player/4807/bstrdd) |  | 396 | 1.10 | 232.7 | 1.14 | 70% | 147.8 | 0.81 | 0.27 | 0.15 | 0.16 | 29% | 31% | 10/32 | [28](/514828/2game-esports-gc-vs-mibr-gc-game-changers-2025-brazil-stage-2-lbf) | 319 | 279 | 105 | 60 | 64 |
| [Shr1mp  AG](/player/25494/shr1mp) | (+1) | 307 | 1.10 | 193.4 | 1.10 | 75% | 127.2 | 0.70 | 0.31 | 0.05 | 0.07 | 24% |  |  | [21](/527584/all-gamers-vs-funplus-phoenix-vct-2025-china-stage-2-lr1) | 214 | 195 | 95 | 14 | 19 |
| [Bizerra  TLV](/player/12143/bizerra) | (+1) | 236 | 1.10 | 200.3 | 1.16 | 71% | 129.2 | 0.69 | 0.27 | 0.10 | 0.07 | 27% | 37% | 7/19 | [19](/514823/corinthians-esports-inclusivo-vs-team-liquid-brazil-game-changers-2025-brazil-stage-2-ubsf) | 163 | 140 | 63 | 24 | 17 |
| [romi  LEV.GC](/player/18982/romi) |  | 233 | 1.10 | 192.0 | 1.20 | 71% | 128.6 | 0.73 | 0.22 | 0.06 | 0.08 | 32% | 17% | 8/47 | [21](/504890/kr-blaze-vs-leviat-n-gc-game-changers-2025-latam-south-stage-2-ubsf) | 169 | 141 | 51 | 14 | 18 |
| [Sylva  AKA](/player/20757/sylva) |  | 449 | 1.10 | 205.5 | 1.12 | 70% | 133.7 | 0.73 | 0.28 | 0.08 | 0.07 | 32% | 19% | 16/84 | [22](/525532/la-mala-vs-lost-puppies-x-leo-game-changers-2025-emea-contenders-series-2-lbf-a) | 328 | 293 | 126 | 38 | 32 |
| [Enzo  MDR](/player/114/enzo) |  | 319 | 1.10 | 203.6 | 1.00 | 73% | 140.7 | 0.65 | 0.40 | 0.07 | 0.07 | 17% | 17% | 9/54 | [25](/524284/team-valiant-vs-mandatory-challengers-2025-france-revolution-split-3-lbf) | 206 | 207 | 127 | 21 | 21 |
| [madv  FLCV](/player/29903/madv) | (+1) | 253 | 1.10 | 193.9 | 1.11 | 81% | 128.8 | 0.70 | 0.44 | 0.06 | 0.04 | 36% | 13% | 3/23 | [22](/490751/team-falcons-vega-vs-xipto-esports-gc-game-changers-2025-southeast-asia-split-2-ubf) | 176 | 159 | 111 | 14 | 9 |
| [Spaz  SRB](/player/8422/spaz) | (+1) | 413 | 1.10 | 187.4 | 1.03 | 76% | 121.3 | 0.67 | 0.45 | 0.05 | 0.05 | 21% | 11% | 8/74 | [25](/525297/shopify-rebellion-black-vs-burger-boyz-challengers-2025-north-america-ace-stage-3-r5) | 276 | 269 | 186 | 19 | 22 |
| [DH  T1](/player/43057/dh) |  | 442 | 1.10 | 196.8 | 1.07 | 75% | 127.7 | 0.72 | 0.46 | 0.08 | 0.09 | 38% | 26% | 12/46 | [23](/508817/t1-vs-paper-rex-vct-2025-pacific-stage-2-w1) | 317 | 296 | 202 | 36 | 40 |
| [MiLuan  S2](/player/11842/miluan) |  | 201 | 1.10 | 222.0 | 1.09 | 73% | 148.9 | 0.76 | 0.32 | 0.08 | 0.05 | 30% | 29% | 7/24 | [24](/503446/s2-esports-vs-good-boy-soop-elite-cup-2025-season-2-gf) | 153 | 141 | 64 | 17 | 11 |
