| Player | Agents | Rnd | R2.0 | ACS | K:D | KAST | ADR | KPR | APR | FKPR | FDPR | HS% | CL% | CL | KMax | K | D | A | FK | FD |
| [nvrfear  BOA](/player/6998/nvrfear) |  | 542 | 1.14 | 202.5 | 1.19 | 77% | 137.4 | 0.75 | 0.32 | 0.06 | 0.05 | 35% | 19% | 13/67 | [25](/508548/boars-gaming-vs-easties-challengers-2025-north-east-samsung-odyssey-split-3-gf) | 408 | 343 | 171 | 31 | 28 |
| [Loita  BCF](/player/24344/loita) |  | 241 | 1.14 | 201.2 | 1.12 | 76% | 129.2 | 0.71 | 0.44 | 0.13 | 0.07 | 41% | 12% | 4/33 | [22](/511226/bbl-pcific-vs-ulf-esports-challengers-2025-t-rkiye-birlik-split-3-ubf) | 172 | 153 | 105 | 31 | 18 |
| [zekken  SEN](/player/4004/zekken) | (+1) | 434 | 1.14 | 238.6 | 1.22 | 73% | 150.9 | 0.85 | 0.21 | 0.22 | 0.17 | 26% | 22% | 5/23 | [26](/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf) | 367 | 301 | 91 | 94 | 73 |
| [Siduzord  STE](/player/3424/siduzord) |  | 263 | 1.14 | 187.3 | 1.18 | 74% | 124.0 | 0.66 | 0.37 | 0.06 | 0.05 | 24% | 25% | 10/40 | [21](/518750/stellae-gaming-vs-team-solid-challengers-2025-brazil-gamers-club-split-2-gf) | 174 | 147 | 97 | 16 | 13 |
| [Ethan](/player/46327/ethan) | (+1) | 225 | 1.14 | 220.1 | 1.14 | 68% | 146.2 | 0.78 | 0.25 | 0.14 | 0.14 | 33% | 16% | 3/19 | [29](/521424/tumt-shark-vs-university-esports-championship-2025-sf) | 176 | 154 | 56 | 31 | 31 |
| [sh1n  JL](/player/2625/sh1n) |  | 218 | 1.14 | 197.3 | 1.19 | 77% | 129.9 | 0.72 | 0.41 | 0.08 | 0.04 | 34% | 14% | 4/28 | [21](/524280/joblife-vs-mandatory-challengers-2025-france-revolution-split-3-gf) | 156 | 131 | 89 | 17 | 8 |
| [something  PRX](/player/17086/something) |  | 535 | 1.14 | 217.4 | 1.26 | 74% | 142.9 | 0.81 | 0.21 | 0.16 | 0.08 | 28% | 17% | 14/82 | [32](/508817/t1-vs-paper-rex-vct-2025-pacific-stage-2-w1) | 433 | 343 | 113 | 83 | 44 |
| [Kyu  CUBE](/player/30470/kyu) |  | 360 | 1.14 | 206.7 | 1.14 | 80% | 134.5 | 0.71 | 0.39 | 0.08 | 0.06 | 23% | 26% | 10/38 | [20](/537235/shopify-rebellion-black-vs-cubert-academy-bell-esports-challenge-2025-closed-qualifier-gf) | 256 | 225 | 142 | 27 | 20 |
| [Addi  FMG.GC](/player/38025/addi) | (+1) | 843 | 1.14 | 249.5 | 1.14 | 71% | 156.9 | 0.90 | 0.25 | 0.13 | 0.13 | 30% | 13% | 10/76 | [37](/525568/small-crew-vs-team-galaga-kitsune-game-changers-2025-emea-contenders-series-2-lr2-d) | 758 | 664 | 208 | 111 | 109 |
| [RieNs  TH](/player/10971/riens) | (+1) | 565 | 1.14 | 222.7 | 1.17 | 75% | 151.1 | 0.78 | 0.31 | 0.07 | 0.04 | 38% | 23% | 15/64 | [27](/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf) | 441 | 378 | 173 | 37 | 23 |
